# perps DEX CN — 合约 culture
永续合约 min_faves:50 lang:zh	Both	perps core term
hyperliquid min_faves:50 lang:zh	Both	HL in CN
合约 爆仓 min_faves:50 lang:zh	Both	liquidation culture
资金费率 min_faves:30 lang:zh	Top	funding-rate data niche
开单 min_faves:30 lang:zh	Latest	position-opening idiom
多单 OR 空单 min_faves:30 lang:zh	Top	long/short calls
带单 min_faves:50 lang:zh	Both	copy-trading-leader niche (huge in CN)
合约 杠杆 min_faves:30 lang:zh	Top	leverage culture
止盈 止损 min_faves:30 lang:zh	Top	TP/SL education niche
仓位管理 min_faves:30 lang:zh	Top	risk-management niche
合约 教学 min_faves:20 lang:zh	Top	tutorial format
山寨 合约 min_faves:20 lang:zh	Top	altcoin perps
链上 合约 dex min_faves:20 lang:zh	Top	on-chain perps category
大户 持仓 min_faves:30 lang:zh	Top	whale-position format
爆仓 数据 min_faves:20 lang:zh	Top	liq-data format
抄底 min_faves:50 lang:zh	Top	bottom-fishing culture
插针 min_faves:30 lang:zh	Top	wick-hunt culture
合约 复盘 min_faves:20 lang:zh	Top	trade-recap format
实盘 min_faves:30 lang:zh	Top	live-account flex format
翻倍 合约 min_faves:20 lang:zh	Top	2x flex
