iteration	win_rate	attention	memorability	clarity	emotion	overall	status	description
0	-	-	-	-	-	-	baseline	initial script
1	100%	NEW	NEW	NEW	NEW	NEW	keep	replaced ending block: "dark pools" feature list → "every bet is sealed / just you against the outcome" mechanism explanation
2	60%	NEW	OLD	NEW	OLD	NEW	keep	added opening question "What can you trade?" before first Exclusive Trade card
3	100%	NEW	NEW	NEW	NEW	NEW	keep	replaced "What can you trade?" with "Everything moves. Almost nothing has a market."
4	100%	NEW	NEW	NEW	NEW	NEW	keep	"4chan activities" → "4chan post velocity. Per board. Per hour."
5	100%	NEW	NEW	NEW	NEW	NEW	keep	"Steam game successes" → "Steam player counts. Every game. Every hour."
6	100%	NEW	NEW	NEW	NEW	NEW	keep	"Space weather." → "Solar storms. Geomagnetic indices. The sun has a market now."
7	80%	NEW	OLD	NEW	NEW	NEW	keep	"US aircraft positions." → "US military aircraft. Position. Altitude. Flight path."
8	60%	NEW	OLD	NEW	OLD	NEW	keep	"Broken McDonalds machines. Yes, really." → "McDonalds ice cream machines. Which ones are broken. Right now."
9	20%	OLD	OLD	NEW	OLD	OLD	discard	tried removing XQC name-drop for tighter rhythm — lost personality
10	80%	NEW	OLD	NEW	NEW	NEW	keep	"Each one a market before the rug" → "Every day. Each one tradeable before it dies."
11	100%	NEW	NEW	NEW	NEW	NEW	keep	"DB Late Trains." → "German trains. How late. Which line. Every departure."
12	20%	OLD	OLD	NEW	OLD	OLD	discard	tried making all cards "Exclusive Trade" — "Exclusive Short" on PumpFun was doing important comedic work
13	60%	NEW	OLD	NEW	OLD	NEW	keep	added "Vision by General Market." to final card — product name was never mentioned
14	80%	NEW	NEW	OLD	NEW	NEW	keep	"Live now." → "Live." — economy of language
15	20%	OLD	OLD	NEW	OLD	OLD	discard	tried "400,000 markets. And counting." — "And 400,000 more." was a better reveal
16	80%	NEW	NEW	NEW	OLD	NEW	keep	added "The largest untouched market surface on earth." — VC thesis line
17	20%	OLD	OLD	NEW	OLD	OLD	discard	tried adding "Until now." — cliché corporate pivot, killed the voice
18	100%	NEW	NEW	NEW	NEW	NEW	keep	added earthquakes as final montage source before the "400,000 more" payoff
