# perps DEX EN
hyperliquid min_faves:300 lang:en	Both	dominant venue
"perp dex" min_faves:100 lang:en	Both	category term
$HYPE min_faves:200 lang:en	Top	HL token tribe
HLP vault min_faves:30 lang:en	Top	HL vault niche
builder codes hyperliquid min_faves:20 lang:en	Top	HL ecosystem dev niche
lighter xyz min_faves:50 lang:en	Both	venue: Lighter
aster dex min_faves:50 lang:en	Both	venue: Aster
edgex min_faves:30 lang:en	Top	venue: edgeX
paradex min_faves:30 lang:en	Top	venue: Paradex
ostium min_faves:30 lang:en	Top	venue: Ostium (RWA perps)
avantis min_faves:30 lang:en	Top	venue: Avantis
extended perp min_faves:20 lang:en	Top	venue: Extended
drift protocol min_faves:30 lang:en	Top	venue: Drift (sol)
gmx min_faves:50 lang:en	Top	venue: GMX
dydx min_faves:50 lang:en	Top	venue: dYdX
funding rate arbitrage min_faves:50 lang:en	Top	funding-arb niche
"funding rates" crypto min_faves:50 lang:en	Top	data-drop format
liquidation map min_faves:50 lang:en	Top	liq-analysis format
"got liquidated" min_faves:100 lang:en	Top	loss-porn format
leverage trading crypto min_faves:100 lang:en	Top	general culture
perps points farming min_faves:30 lang:en	Both	airdrop-farming niche
"open interest" crypto min_faves:50 lang:en	Top	OI data format
copy trading perps min_faves:30 lang:en	Top	copytrade niche
paper trading crypto min_faves:30 lang:en	Top	beginner niche
prop firm crypto min_faves:30 lang:en	Top	funded-trader niche
trading journal crypto min_faves:30 lang:en	Top	journal/improvement niche
"daily pnl" trading min_faves:50 lang:en	Top	pnl-recap format
hyperliquid whale min_faves:100 lang:en	Top	whale-watch format (HL is transparent)
top traders hyperliquid min_faves:30 lang:en	Top	leaderboard format
