# second-pass trenches CN — group discovery, live idiom, repeatable surfaces
币圈 必关注 min_faves:20 lang:zh	Top	account-list discovery
值得关注 账号 币圈 min_faves:20 lang:zh	Top	account-list discovery
聪明钱 钱包 min_faves:20 lang:zh	Both	wallet-tracking outliers
跟单 钱包 min_faves:20 lang:zh	Both	copytrade workflow
链上 监控 min_faves:20 lang:zh	Top	monitoring tools
每日 复盘 币圈 min_faves:20 lang:zh	Both	recap format
Alpha 日报 min_faves:10 lang:zh	Both	recurring alpha report
信息差 币圈 min_faves:30 lang:zh	Top	info-arbitrage format
百倍币 教程 min_faves:10 lang:zh	Top	tutorial format
合约地址 抽奖 min_faves:20 lang:zh	Top	CA + engagement farm
貔貅 检测 min_faves:5 lang:zh	Both	honeypot detection
捆绑砸货 min_faves:1 lang:zh	Latest	bundle villain repaired idiom
老鼠仓 项目 min_faves:20 lang:zh	Top	insider villain
割韭菜 KOL min_faves:20 lang:zh	Top	KOL villain
小作文 垃圾 min_faves:10 lang:zh	Top	low-quality-analysis villain
出金 冻卡 min_faves:20 lang:zh	Top	offramp pain
埋伏 金狗 min_faves:10 lang:zh	Top	gem-caller status
冲土狗 复盘 min_faves:5 lang:zh	Latest	trench recap idiom
