Priority,Keyword,Est. Monthly Search Volume,Difficulty (1-10),Competitor Ranking,Competitor Page,Vision Opportunity,Recommended Vision Page,Category
1,AI prediction market,8100,3,None ranking well,No dedicated page,HIGH — no competitor owns this term. Vision is literally built for AI agents.,/learn/ai-prediction-markets OR homepage,Blue Ocean
2,prediction market bot,5400,3,predictengine.ai ranks; Polymarket/Kalshi absent,N/A — third-party sites only,HIGH — Vision is bot-native. npx generalmarket init is the pitch.,/learn/prediction-market-bots + /docs,Blue Ocean
3,AI trading bot prediction markets,3600,2,CoinDesk articles; no platform owns it,N/A — news articles only,HIGH — exact match to Vision's positioning. Zero platform competition.,/learn/ai-trading-bots,Blue Ocean
4,automated prediction market trading,2900,3,newyorkcityservers.com blog; no major platform,N/A — blog posts only,HIGH — Vision's sealed parimutuel + API is purpose-built for this.,/learn/automated-trading,Blue Ocean
5,polymarket alternative,12100,5,semrush.com competitor pages; listicle sites,semrush.com/website/polymarket.com/competitors/,HIGH — classic comparison keyword. Vision has genuine differentiators.,/learn/polymarket-vs-general-market OR /compare,Competitor
6,kalshi alternative,6600,5,alphascope.app; listicle sites,alphascope.app/blog/apps-like-kalshi,HIGH — same pattern. Target both comparison and alternative keywords.,/learn/kalshi-vs-general-market,Competitor
7,prediction markets,110000,9,Polymarket #1; Kalshi #2; Wikipedia #3,polymarket.com (homepage),LOW short-term — dominated by incumbents. Build authority first.,Homepage (long-term),Head Term
8,what is a prediction market,33100,6,Kalshi help center; Polymarket docs; Wikipedia,help.kalshi.com + docs.polymarket.com,MEDIUM — educational content. Vision can rank with unique angle (AI + exotic).,/learn/what-are-prediction-markets,Educational
9,prediction market app,14800,7,Kalshi App Store; Polymarket; listicle sites,App store listings + review sites,LOW — mobile app competition. Vision is web-first.,Not priority,Head Term
10,parimutuel prediction market,1300,2,Academic papers; no commercial platform ranks,Stanford PDF; ResearchGate,HIGH — Vision is the only commercial parimutuel prediction market at scale.,/learn/parimutuel-prediction-markets,Blue Ocean
11,weather prediction market,4400,4,Kalshi (climate category); no dedicated page,kalshi.com/browse (climate section),HIGH — Vision has NOAA/USGS/earthquake/wildfire data sources. Kalshi has basic weather.,/sources (weather category) + /learn/weather-markets,Category
12,crypto prediction market,22200,8,Polymarket dominates; CoinGecko; MetaMask,polymarket.com/crypto,MEDIUM — crowded but Vision treats Polymarket odds as a DATA SOURCE (meta-play).,/sources (crypto category),Category
13,sports prediction market,18100,8,Polymarket; Kalshi; Deadspin; sportsbooks,polymarket.com (sports); kalshi.com/browse,LOW — Vision doesn't focus on sports. Skip unless adding sports sources.,Not priority,Category
14,prediction market api,5400,4,Polymarket docs rank well; Kalshi docs,docs.polymarket.com; kalshi.com/api,HIGH — Vision's API is built for bots. Developer audience overlaps perfectly.,/docs/api,Developer
