tier	score	followers	handle	bio	notes
INNER	7	15168	@Bluedeerc	Options surface analysis. Dealer positioning. Market structure. Institutional-grade research. Equidamus Markets	Top match. Surface-level operator vocabulary, dealer positioning, institutional bent.
INNER	7	582	@spxudi	prev. derivs quant at a hedge fund you've never heard of. it's not a loss if you haven't been liquidated.	Quant. Tiny following = peer band, low competition reply.
INNER	6	9929	@fabiocatalao_	Physicist II Data Analyst II @paradex trader	Paradex active trader + physicist quant.
INNER	4	61353	@Han_Akamatsu	Independent Technical Market Analyst. Gamma exposure. Dealer positioning. Asymmetric equity setups.	Real options/quant content. Reach tier follower count.
INNER	3	27513	@options_insight	Imran Lakha — 25y options trading veteran	Veteran. Has masterclass biz — may resist; pin only with data.
INNER	3	8235	@Autonomous_Chad	Quant @ZEITFinance. Prediction markets. Betting against the herd.	On-niche prediction-market quant.
INNER	3	1090	@TokensWolf	mev extractoor, arb/mm, investing in stuff @Magnus_fund	MEV + MM operator. Small but pure niche.
INNER	3	1159	@FvckYourHedge	Options trading. Class '19 Retard algo MM Trader	Self-identified algo MM trader.
INNER	3	367	@burningpremium	most trade ideas deserve to die. yours might too. — vol st.	Vol trader. Cioran-grade bio.
MIDDLE	3	7076	@D2_Finance	Institutional-grade Derivatives Strategies for DeFi. Tokenized derivative strategies since 2023.	Firm acct. Good for B2B angle.
MIDDLE	3	430	@cedeflow	Perps Algo Trading, simplified. High-performance bots.	Project, not person — useful for product positioning.
MIDDLE	2	35042	@ExitLiqCapital	Calendar GCR, semi-retired derivatives trader	Derivs trader, larger reach.
MIDDLE	2	16453	@Outcomexyz	Prediction Markets on Hyperliquid	Project, adjacent.
MIDDLE	2	4793	@hypingbull	Hyperliquid and cryptocurrency alpha	Hyperliquid commentator.
MIDDLE	2	378	@blackjack_god	Card counter. Risk calculator. Math the house doesn't want you knowing.	Real quant DNA.
MIDDLE	2	253	@trynormie	a trading app for everyone — hyperliquid, polymarket, memes	Adjacent product.
MIDDLE	1	19362	@adiix_official	vibe coding | ai & onchain research	Small but technical.
MIDDLE	1	13072	@gaah_im	Markets Analyses, on-chain Data BTC. Analyst @investemais_net @cryptoquant_com	On-chain quant.
MIDDLE	1	11599	@jeg6322	vibe research on crypto, ai, hci, robotics @xitdao	Research-niche.
MIDDLE	1	8430	@kshitizkapoor_	Everyone trades. Few manage risk. CMT Level 1.	Risk-focused.
MIDDLE	1	4838	@mahera777	@Polymarket researcher, trader	Polymarket researcher.
MIDDLE	1	4124	@bas3dp0tat6	Illiquid Strategies Analyst and Lender of Last Resort. @Neutrl	Illiquid strategies = serious operator.
MIDDLE	1	2453	@martynov014	kazakh expert on @polymarket	Polymarket specialist.
MIDDLE	1	19765	@Andre_Dragosch	European Head of Research @Bitwise. PhD.	Institutional research.
MIDDLE	rescued	60803	@kingfisher_btc	Pioneer of the Liquidation Map. 150K+ Traders.	Real product (liquidation tooling).
MIDDLE	rescued	45970	@0xBiZzy	LP GCR. Post-Rich Gorillionaire.	LP-Game Coordinator (liquidity provider).
MIDDLE	rescued	25013	@bored2boar	On-Chain Investigations / Prediction markets / DeFi moves	Prediction-market analyst.
MIDDLE	rescued	19988	@EricCLFung	Architect @lostincodexyz. Art AI Crypto R&D. prev 0n1force qubicagi deficyan statscan.	Builder, R&D background.
MIDDLE	rescued	12818	@DextersSolab	Prediction Markets Analyst, Bluechip Holder @zscdao	Prediction market analyst.
MIDDLE	rescued	9345	@Gravity5ucks	Data alchemist @GenesisVol	Vol-focused data scientist.
MIDDLE	rescued	5103	@PredictParity	Balancing Prediction Markets @MovieTimeDev	Prediction-market mechanism builder.
MIDDLE	rescued	5009	@traidingfloor	A complete AI trading floor, running on your machine. No cloud.	Bot dev tool — your audience.
MIDDLE	rescued	3890	@derivativemonky	chilling with CSC, MouseBelt, @WeeklyWizdom, @pear_protocol, @deriveinsights	Derivatives ecosystem operator. Cross-source confirmed (B1+B7).
MIDDLE	rescued	3731	@LorisTools	1-Click Pair Trades & Multi-Exchange Spreads. Free Perps Data on 40+ Exchanges	Quant tools project.
MIDDLE	rescued	3017	@LilQwantXBT	implied vibes, highest frequency trader, @whalepool	HFT trader. Cross-source confirmed.
MIDDLE	rescued	1850	@sz8ng	Programming magic money on the internet @strikeperps	Strikeperps dev.
MIDDLE	rescued	997	@arcxtrade	The trading layer for all perp DEXs.	Cross-DEX trading tool.
MIDDLE	rescued	768	@amlytor	Current focus on Crypto/Stocks. @GalacticGeckoSG, @neukoai operative	Small but on-niche.
MIDDLE	rescued	307	@Christo07291909	Awards: Peaked in 2008. Statistical average of midwits.	Tongue-in-cheek bio = often a real quant.
MIDDLE	rescued	303	@confinedape	risk connoisseur in love with markets and thinking machines	Risk vocabulary. Cross-source confirmed.
MIDDLE	rescued	136	@options_matrix	Trade on statistics, not hunches. AI-powered platform for yield optimization & prediction	Project — possibly relevant.
OUTER	0	183004	@vooi_io	Trade perps cross-venue. Multi-DEX aggregator. Funding Arb. @YZiLabs	Perp aggregator with funding arb angle.
OUTER	0	78698	@reya_xyz	DEX backed by Framework, Coinbase, Selini Capital	Perp DEX. Selini Capital = real quant fund.
OUTER	0	44895	@tradehotstuff	DeFi layer 1 for Confidential Integrated Finance	Privacy-focused derivs.
OUTER	0	31831	@FlashTrade	Perps on Solana	Solana perps.
OUTER	0	27260	@Coincall_Global	The Largest Altcoin Options Exchange	Altcoin options venue.
OUTER	0	22163	@PolymarketDevs	Polymarket Developers	Polymarket dev team.
OUTER	0	16204	@Web3Alex_	Marketing & KOL Manager. 150+ Successful clients.	Marketing not target — but knows the niche. Skip or include for KOL ops?
OUTER	0	7208	@itslirrato	chief prediction markets enjoyer	Prediction-market personality.
OUTER	0	44	@FundingRatesGuy		Name = niche. Bio empty but likely real funding-rate quant.
OUTER	—	—	@max_otc	Forging the first anti-cheat to protect traders pnl from insider trading @tryGeneral_	YOUR OWN AFFILIATE — skip.
